file,n,ok_MSL,ok_ANNMAX,overall_ok,notes
san_diego-569-usa-uhslc_fd_annual.csv,115,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1"
san_diego-9410170-usa-noaa_annual.csv,114,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1"
san_diego_ca-569a-usa-uhslc_rq_annual.csv,111,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1"
san_francisco_ca-551-usa-uhslc_fd_annual.csv,127,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1"
santander-sant-esp-ieo_annual.csv,68,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=3,outlier_spike_n=1"
sasebo-hd19-jpn-jodc_jcg_annual.csv,72,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1,outlier_spike_n=1"
sitka-9451600-usa-noaa_annual.csv,86,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=3,outlier_spike_n=1"
sitka_ak-559-usa-uhslc_fd_annual.csv,86,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=2,outlier_spike_n=2"
sitka_ak-559a-usa-uhslc_rq_annual.csv,82,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=2,outlier_spike_n=2"
south_beach-9435380-usa-noaa_annual.csv,57,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1"
south_beach_or-592-usa-uhslc_fd_annual.csv,56,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=2,outlier_spike_n=1"
south_beach_or-592a-usa-uhslc_rq_annual.csv,53,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1"
sydney_fort_denison-60370-aus-bom_annual.csv,106,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1,outlier_spike_n=2"
tarifa-tari-esp-ieo_annual.csv,64,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=4,outlier_spike_n=1"
the_battery-8518750-usa-noaa_annual.csv,93,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1"
townsville-59250-aus-bom_annual.csv,64,True,False,False,"MSL:no_level_shift_detected | ANNMAX:level_shift_years=1966,outlier_level_n=8,outlier_spike_n=4"
uchiura-ma18-jpn-jodc_jma_annual.csv,62,False,True,False,MSL:level_shift_years=2016 | ANNMAX:no_level_shift_detected
uragami-ma25-jpn-jodc_jma_annual.csv,52,False,True,False,"MSL:gappy_years,level_shift_years=2018 | ANNMAX:gappy_years,no_level_shift_detected"
valparaiso-081-chl-uhslc_fd_annual.csv,69,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1,outlier_spike_n=1"
valparaiso-081a-chl-uhslc_rq_annual.csv,63,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=1,outlier_spike_n=1"
veracruz-250-mex-unam_hist_annual.csv,50,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=3,outlier_spike_n=5"
wakayama-ma28-jpn-jodc_jma_annual.csv,54,True,False,False,"MSL:no_level_shift_detected | ANNMAX:no_level_shift_detected,outlier_level_n=2"
wake-051-usa-uhslc_fd_annual.csv,68,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=3,outlier_spike_n=4"
wake-051a-usa-uhslc_rq_annual.csv,64,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=3,outlier_spike_n=4"
wake_island-1890000-usa-noaa_annual.csv,66,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=2,outlier_spike_n=4"
washington-8594900-usa-noaa_annual.csv,91,True,False,False,"MSL:gappy_years,no_level_shift_detected | ANNMAX:gappy_years,no_level_shift_detected,outlier_level_n=2"
