filename_x,AIC_s,BIC_s,AIC_ns,BIC_ns,LRT_stat,LRT_p,beta1,slope_MSL,errMSL,slope_res,errresid,filename_y,n_years,completeness,longitude,latitude,country
fukue-ma50-jpn-jodc_jma_annual,417.74,423.76,413.76,421.79,5.98,0.014464702,-0.548440,0.194549439,0.021618131,-0.027786287,0.335370014,fukue-ma50-jpn-jodc_jma,60,0.9673,128.84945,32.69611667,JPN
furuogrund-2055-swe-smhi_annual,940.09,948.17,895.92,906.69,46.17,0.000000000,-0.255641,-0.777439230,0.023364368,-0.199760113,0.055418917,furuogrund-2055-swe-smhi,110,0.993,21.2306,64.9158,SWE
furuogrund-fur-swe-cmems_annual,941.24,949.32,901.89,912.66,41.35,0.000000000,-0.336219,-0.776858559,0.023341476,-0.199328993,0.055410409,furuogrund-fur-swe-cmems,110,0.9921,21.2306,64.915802,SWE
galveston_pier_21-775-usa-uhslc_fd_annual,970.36,978.44,968.59,979.36,3.77,0.052166351,0.092979,0.653729022,0.012458815,0.104185602,0.067488062,galveston_pier_21-775-usa-uhslc_fd,121,1.0048,-94.793,29.31,USA
galveston_pier_21-775a-usa-uhslc_rq_annual,937.04,945.00,936.55,947.17,2.49,0.114852390,0.077386,0.646197222,0.012968144,0.100166761,0.073475636,galveston_pier_21-775a-usa-uhslc_rq,117,1.0092,-94.793,29.31,USA
galveston_pier_21-8771450-usa-noaa_annual,1008.77,1016.98,1006.37,1017.32,4.40,0.035988790,0.093680,0.661544104,0.012653346,0.087141630,0.062669005,galveston_pier_21-8771450-usa-noaa,122,0.9947,-94.793306,29.31,USA
galveston_ppier-767-usa-uhslc_fd_annual,467.72,473.46,469.72,477.37,0.00,0.992974660,-0.001598,0.619768533,0.041536005,0.080284431,0.286874814,galveston_ppier-767-usa-uhslc_fd,55,0.9809,-94.788,29.285,USA
galveston_ppier-767a-usa-uhslc_rq_annual,473.05,478.79,469.72,477.37,5.33,0.020961293,-0.001600,0.619777076,0.041535174,0.080267767,0.286867655,galveston_ppier-767a-usa-uhslc_rq,55,0.9809,-94.79,29.287,USA
gedser-837a-dnk-uhslc_rq_annual,1007.87,1016.02,1009.82,1020.69,0.05,0.821510094,-0.253322,0.119770364,0.009836651,-0.149815266,0.348109848,gedser-837a-dnk-uhslc_rq,122,0.9952,11.933,54.567,DNK
gedser-ged-dnk-dmi_annual,1116.06,1124.49,1115.68,1126.93,2.38,0.123214978,-0.218225,0.126888946,0.008402386,-0.231238152,0.313164639,gedser-ged-dnk-dmi,135,1.1548,11.933333,54.566666,DNK
