input_path,exists,gauge_type,is_coastal,number_of_years,station_name,error
/home/pth/GESLA4/DATA/choshigyoko-ma64-jpn-jodc_jma,yes,Coastal,yes,51,,
/home/pth/GESLA4/DATA/chowiet_island-9458519-usa-noaa,yes,Coastal,yes,1,,
/home/pth/GESLA4/DATA/christiansted_harbor-9751364-usa-noaa,yes,Coastal,yes,20,,
/home/pth/GESLA4/DATA/christiansted_vi-258a-usa-uhslc_rq,yes,Coastal,yes,17,,
/home/pth/GESLA4/DATA/christina_river_at_newport_de-1480065-usa-usgs,yes,Coastal,yes,9,,
/home/pth/GESLA4/DATA/christina_river_at_wilmington_de-1480120-usa-usgs,yes,Coastal,yes,11,,
/home/pth/GESLA4/DATA/christmas-011a-kir-uhslc_rq,yes,Coastal,yes,18,,
/home/pth/GESLA4/DATA/christmas-011b-aus-uhslc_rq,yes,Coastal,yes,45,,
/home/pth/GESLA4/DATA/christmas-011-kir-uhslc_fd,yes,Coastal,yes,14,,
/home/pth/GESLA4/DATA/christmas-170a-kir-uhslc_rq,yes,Coastal,yes,20,,
/home/pth/GESLA4/DATA/christmas-170-aus-uhslc_fd,yes,Coastal,yes,14,,
/home/pth/GESLA4/DATA/churchill-274a-can-uhslc_rq,yes,Coastal,yes,58,,
/home/pth/GESLA4/DATA/churchill-274-can-uhslc_fd,yes,Coastal,yes,64,,
/home/pth/GESLA4/DATA/churchill-5010-can-meds,yes,Coastal,yes,86,,
/home/pth/GESLA4/DATA/churchill_bay-5011-can-meds,yes,Coastal,yes,1,,
/home/pth/GESLA4/DATA/chuuk-054a-fsm-uhslc_rq,yes,Coastal,yes,45,,
/home/pth/GESLA4/DATA/chuuk-054-fsm-uhslc_fd,yes,Coastal,yes,4,,
/home/pth/GESLA4/DATA/chuuk-1840000-usa-noaa,yes,Coastal,yes,21,,
/home/pth/GESLA4/DATA/ciboure-6270-fra-refmar,yes,Coastal,yes,5,,
/home/pth/GESLA4/DATA/cibouretg_60minute-cib-fra-cmems,yes,Coastal,yes,2,,
/home/pth/GESLA4/DATA/cilacap-162a-idn-uhslc_rq,yes,Coastal,yes,21,,
/home/pth/GESLA4/DATA/cilicap-162b-idn-uhslc_rq,yes,Coastal,yes,11,,
/home/pth/GESLA4/DATA/cilicap-162c-idn-uhslc_rq,yes,Coastal,yes,1,,
/home/pth/GESLA4/DATA/cilicap-162-idn-uhslc_fd,yes,Coastal,yes,8,,
/home/pth/GESLA4/DATA/ciudadcarmen_radar-4-mex-unam,yes,Coastal,yes,4,,
/home/pth/GESLA4/DATA/ciudad_del_carmen-403-mex-unam_hist,yes,Coastal,yes,22,,
/home/pth/GESLA4/DATA/ciudad_del_carmen-779a-mex-uhslc_rq,yes,Coastal,yes,35,,
/home/pth/GESLA4/DATA/civitavecchia-civ-ita-ispra,yes,Coastal,yes,46,,
/home/pth/GESLA4/DATA/clambank_creek_dock-8662299-usa-noaa,yes,Coastal,yes,2,,
/home/pth/GESLA4/DATA/clapboard_creek-8720198-usa-noaa,yes,River,no,2,,
/home/pth/GESLA4/DATA/clapboard_creek_nr_jacksonville_fl-2246825-usa-usgs,yes,River,no,11,,
/home/pth/GESLA4/DATA/clarendon_plantation-8667633-usa-noaa,yes,Coastal,yes,6,,
/home/pth/GESLA4/DATA/clarks_harbour-405-can-meds,yes,Coastal,yes,3,,
/home/pth/GESLA4/DATA/clarks_point-9465261-usa-noaa,yes,Coastal,yes,1,,
/home/pth/GESLA4/DATA/claxton_bc-9260-can-meds,yes,Coastal,yes,2,,
/home/pth/GESLA4/DATA/clear_ck_nr_friendswood_tx-8077600-usa-usgs,yes,River,no,19,,
/home/pth/GESLA4/DATA/clear_creek_bay_area_boulevard-cle-usa-hct,yes,River,no,16,,
/home/pth/GESLA4/DATA/clear_creek_fm_2351-cle-usa-hct,yes,River,no,12,,
/home/pth/GESLA4/DATA/clear_creek_i45-cle-usa-hct,yes,River,no,29,,
/home/pth/GESLA4/DATA/clear_lake-8770933-usa-noaa,yes,River,no,1,,
/home/pth/GESLA4/DATA/clear_lk_second_outflow_channel_at_kemah_tx-8077637-usa-usgs,yes,Coastal,yes,19,,
/home/pth/GESLA4/DATA/clear_passage_bc-9220-can-meds,yes,Coastal,yes,1,,
/home/pth/GESLA4/DATA/clearwater_bch_fl-773a-usa-uhslc_rq,yes,Coastal,yes,26,,
/home/pth/GESLA4/DATA/clearwater_beach-8726724-usa-noaa,yes,Coastal,yes,52,,
/home/pth/GESLA4/DATA/cleveland_oh-9063063-usa-noaa,yes,Lake,no,56,,
/home/pth/GESLA4/DATA/cliff_aos_wharf-8573137-usa-noaa,yes,Coastal,yes,1,,
/home/pth/GESLA4/DATA/clifton_court_intake-b95339-usa-cdwr,yes,River,no,6,,
/home/pth/GESLA4/DATA/clinton_harbor-8463701-usa-noaa,yes,Coastal,yes,1,,
/home/pth/GESLA4/DATA/clipperton-391c-fra-uhslc_rq,yes,Coastal,yes,2,,
/home/pth/GESLA4/DATA/clipperton-391d-fra-uhslc_rq,yes,Coastal,yes,2,,
/home/pth/GESLA4/DATA/clipperton-797-fra-refmar,yes,Coastal,yes,4,,
/home/pth/GESLA4/DATA/clover_point_bc-7115-can-meds,yes,Coastal,yes,1,,
/home/pth/GESLA4/DATA/clump_point-59168-aus-bom,yes,Coastal,yes,38,,
/home/pth/GESLA4/DATA/clyde_river-3940-can-meds,yes,Coastal,yes,1,,
/home/pth/GESLA4/DATA/coal_point-9455558-usa-noaa,yes,Coastal,yes,1,,
/home/pth/GESLA4/DATA/coast_guard_sector_mobile-8736897-usa-noaa,yes,Coastal,yes,19,,
/home/pth/GESLA4/DATA/coates_point-8533055-usa-noaa,yes,Coastal,yes,2,,
/home/pth/GESLA4/DATA/coats_island-3504-can-meds,yes,Coastal,yes,1,,
/home/pth/GESLA4/DATA/coats_island-64492-can-meds,yes,Coastal,yes,1,,
/home/pth/GESLA4/DATA/coatzacoalcos-405-mex-unam_hist,yes,Coastal,yes,32,,
/home/pth/GESLA4/DATA/cobourg_ontario-13590-can-meds,yes,Lake,no,64,,
/home/pth/GESLA4/DATA/cochin-174-ind-uhslc_fd,yes,Coastal,yes,15,,
/home/pth/GESLA4/DATA/cochino_pequeno-269a-hnd-uhslc_rq,yes,Coastal,yes,2,,
